precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DREGAN NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","BRĂNEŢ EMILIA-PARTIDUL NAȚIONAL LIBERAL-voturi","URSU CAMELIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUS CRISTINA-ELENA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
2,ARAD,"CĂMINUL CULTURAL HUNEDOARA TIMIȘANĂ",368,ŞAGU,12144,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:58",179,160,0,9,10,102,83,0,9,10,99,3,180,78,7,67,9,16
2,ARAD,"PRIMĂRIA COMUNEI ȘAGU",363,ŞAGU,12144,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:35",1130,1113,2,3,12,619,604,0,3,12,602,17,1230,611,61,421,40,80
2,ARAD,"PRIMĂRIA COMUNEI ȘAGU",364,ŞAGU,12144,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:59",717,690,1,9,17,419,392,1,9,17,411,8,760,341,54,256,29,72
2,ARAD,"ŞCOALA GENERALĂ",365,ŞAGU,12144,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:46",616,584,1,8,23,340,309,0,8,23,326,14,660,320,17,234,28,47
2,ARAD,"ŞCOALA GENERALĂ",366,ŞAGU,12144,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:35:57",387,370,1,10,6,190,174,0,10,6,186,4,410,220,20,131,24,11
2,ARAD,"ŞCOALA GIMNAZIALĂ",367,ŞAGU,12144,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:40",482,463,2,11,6,268,251,0,11,6,257,11,520,252,17,219,11,10
