precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","HERTZ ANDY-voturi"
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:08:02",331,324,0,3,4,228,221,0,3,4,211,17,345,117,85,39,72,15
22,HUNEDOARA,"PRIMĂRIA COMUNEI BUCEŞ",314,BUCEŞ,88788,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:20:58",134,121,0,5,8,97,84,0,5,8,96,1,140,43,45,4,41,6
22,HUNEDOARA,"ȘCOALA PRIMARĂ BUCEȘ-VULCAN",315,BUCEŞ,88788,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:51",162,155,0,2,5,128,121,0,2,5,128,0,180,52,86,16,19,7
22,HUNEDOARA,"ȘCOALA PRIMARĂ DUPĂPIATRĂ",316,BUCEŞ,88788,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:55:32",372,356,3,6,7,258,243,2,6,7,252,6,385,127,136,30,37,49
22,HUNEDOARA,"ȘCOALA PRIMARĂ GROHOȚELE",317,BUCEŞ,88788,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:07",169,157,2,8,2,137,125,2,8,2,135,2,180,43,90,13,14,18
22,HUNEDOARA,"ȘCOALA PRIMARĂ STĂNIJA",319,BUCEŞ,88788,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:01:52",328,308,2,9,9,233,215,0,9,9,228,5,345,112,171,16,21,20
