precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORTAŞ MIREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞOFRAC BENONE-PARTIDUL SOCIAL DEMOCRAT-voturi","APREUTESEI GELU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SIMA CONSTANTIN-PARTIDUL MIȘCAREA POPULARĂ-voturi","SEREDIUC CONSTANTIN-FORȚA DREPTEI-voturi"
24,IAŞI,"CASA DE PRAZNUIRE",493,HELEŞTENI,97465,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:43",168,161,0,6,1,100,93,0,6,1,94,6,200,100,16,74,1,0,3
24,IAŞI,"CENTRUL EDUCATIV PENTRU COPII SARACI HARMANEASA",492,HELEŞTENI,97465,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:59",578,566,0,6,6,358,346,0,6,6,343,15,600,242,140,176,5,9,13
24,IAŞI,"SCOALA GIMNAZIALA HELESTENI",491,HELEŞTENI,97465,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:39",686,666,1,10,9,450,430,1,10,9,427,23,700,250,126,258,1,1,41
24,IAŞI,"SCOALA GIMNAZIALA OBOROCENI",494,HELEŞTENI,97465,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:09",595,573,0,9,13,327,305,0,9,13,316,11,600,273,130,165,7,2,12
