precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGUŞIN ION-PARTIDUL SOCIAL DEMOCRAT-voturi","VASILESCU FLORENTINA-IULIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞERBAN COSTICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","JANTEA DUMITRU-TITEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CREŢU GRIGORE-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:01:14",1021,1012,2,1,6,565,558,0,1,6,552,13,1100,535,355,24,73,94,6
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:06",1007,991,0,3,13,545,529,0,3,13,529,16,1103,558,308,22,128,67,4
