precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANTEA ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOBANU MARIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CHETRAN RELU-PARTIDUL SOCIAL DEMOCRAT-voturi","MIRON ŞTEFAN-NICOLAE-FORȚA DREPTEI-voturi","PANTEA VLĂDUŢ-PARTIDUL PRO ROMÂNIA-voturi"
39,VASLUI,"CĂMINUL CULTURAL BOȚEȘTI",232,BOŢEŞTI,162871,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:25",718,690,0,6,22,396,368,0,6,22,382,14,801,405,242,61,15,15,49
39,VASLUI,"CĂMINUL CULTURAL GUGEȘTI",233,BOŢEŞTI,162871,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:48",770,749,1,4,16,426,405,1,4,16,406,20,801,375,259,10,17,20,100
