precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi"
24,IAŞI,"CENTRU DE ZI AFTER SCHOOL RUSI",438,DOBROVĂŢ,96888,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:20",771,727,1,6,37,461,418,0,6,37,434,27,800,339,291,17,33,79,13,1
24,IAŞI,"ŞCOALA GENERALĂ NR.1 MOLDOVENI",437,DOBROVĂŢ,96888,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:37",1056,1010,2,7,37,562,518,0,7,37,526,36,1195,633,356,32,46,69,13,10
