precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PIPERNEA GHEORGHE-voturi"
34,SIBIU,"PRIMARIA COMUNEI CRISTIAN",266,CRISTIAN,143487,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:22",1319,1284,2,24,9,834,802,0,24,8,770,64,1600,766,68,114,46,40,450,52
34,SIBIU,"SCOALA GIMNAZIALA , CRISTIAN",268,CRISTIAN,143487,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:28:58",1279,1250,9,18,2,828,808,0,18,2,801,14,1368,540,86,145,175,89,140,166
34,SIBIU,"ȘCOALA GIMNAZIALĂ CRISTIAN-CORP IV, ȘCOALA ROMÂNEASCĂ",267,CRISTIAN,143487,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:24:37",1241,1218,8,13,2,747,732,0,13,2,717,30,1350,603,88,153,91,167,79,139
