precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUŢĂ FLORIN-AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","URZICEANU MARIANA-VASILICA-UNIUNEA SALVAȚI ROMÂNIA-voturi","VĂDUVA CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PREDOAICA MAGDALENA-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"ȘCOALA GIMNAZIALĂ - CORP 3",351,"GALICEA MARE",72383,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:28:06",1251,1201,1,32,17,757,708,0,32,17,713,44,1300,543,17,123,280,293
17,DOLJ,"ȘCOALA GIMNAZIALĂ -CORP 3",350,"GALICEA MARE",72383,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:05",748,715,0,29,4,455,422,0,29,4,444,11,800,345,10,80,219,135
17,DOLJ,"ȘCOALA GIMNAZIALĂ CORP 3",349,"GALICEA MARE",72383,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:38:32",1360,1288,1,43,28,833,762,0,43,28,784,49,1464,631,10,149,357,268
