county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","STROIE CLAUDIU MARIN-voturi","STROIE CLAUDIU MARIN-mandate-faza-1","STROIE CLAUDIU MARIN-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","VASILE MINUŞ-voturi","VASILE MINUŞ-mandate-faza-1","VASILE MINUŞ-mandate-faza-2","NEGREANU ION-voturi","NEGREANU ION-mandate-faza-1","NEGREANU ION-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-2","ROŞU IULIAN-ALIN-voturi","ROŞU IULIAN-ALIN-mandate-faza-1","ROŞU IULIAN-ALIN-mandate-faza-2","ROTARU FLOREA-voturi","ROTARU FLOREA-mandate-faza-1","ROTARU FLOREA-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","GEOROCEANU VERGIL-voturi","GEOROCEANU VERGIL-mandate-faza-1","GEOROCEANU VERGIL-mandate-faza-2","DOBRIŢA MARCEL-voturi","DOBRIŢA MARCEL-mandate-faza-1","DOBRIŢA MARCEL-mandate-faza-2","NICU ADRIAN-ALBERT-voturi","NICU ADRIAN-ALBERT-mandate-faza-1","NICU ADRIAN-ALBERT-mandate-faza-2","BĂDICA ILIE-voturi","BĂDICA ILIE-mandate-faza-1","BĂDICA ILIE-mandate-faza-2"
30,OLT,BĂBICIU,125659,1,FINAL,UAT,CL,CL_CE,"2024-06-12 19:54:42",1855,1628,0,175,52,1468,1241,0,175,52,1327,51,1844,466,66,92,106,117,399,3,0,760,6,1,134,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BALDOVINEŞTI,125677,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:54:55",895,826,0,23,46,581,512,0,23,46,566,15,916,335,28,39,45,61,14,0,0,453,7,0,28,0,1,0,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BĂLTENI,130286,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:22:21",1338,1316,0,7,15,810,788,0,7,15,778,32,1514,704,38,54,62,70,158,2,0,554,7,1,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BĂRĂŞTI,125757,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:56:55",1502,992,1,469,40,1273,763,1,469,40,1255,18,1483,210,62,87,100,139,432,3,0,724,5,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BÂRZA,125846,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:38:38",2121,2025,1,38,57,1406,1311,0,38,57,1338,68,2295,889,66,93,107,121,372,3,0,845,6,1,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BOBICEŞTI,125873,2,FINAL,UAT,CL,CL_CE,"2024-06-14 14:10:36",2624,2564,2,25,33,1521,1462,1,25,33,1481,40,2867,1346,74,103,118,134,121,0,1,1118,8,0,242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BRÂNCOVENI,126022,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:18:38",2251,2058,6,172,15,1602,1415,0,172,15,1558,44,2341,739,77,109,124,141,473,3,0,1000,7,0,0,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BRASTAVĂŢU,125962,2,FINAL,UAT,CL,CL_CE,"2024-06-14 15:57:30",3639,3383,3,57,196,2134,1879,2,57,196,2045,89,3780,1646,102,143,163,151,711,4,1,1264,8,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BREBENI,125999,2,FINAL,UAT,CL,CL_CE,"2024-06-14 12:07:38",2301,2202,0,70,29,1550,1451,0,70,29,1495,55,2391,841,74,104,119,130,315,2,0,539,4,0,479,3,1,61,0,0,0,0,0,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,BUCINIŞU,126077,2,FINAL,UAT,CL,CL_CE,"2024-06-19 14:30:35",1728,1513,0,162,53,1374,1159,0,162,53,1304,70,1736,362,65,91,104,118,542,4,1,626,5,0,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
