precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CAZACU ANGELA-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRAŞ CONSTANTIN-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"CAMINUL CULTURAL CORDARENI",184,CORDĂRENI,36649,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:48:45",706,674,1,4,27,413,382,0,4,27,404,9,750,337,61,343
7,BOTOŞANI,"SCOALA GRIVITA",185,CORDĂRENI,36649,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:37",380,366,0,5,9,219,205,0,5,9,209,10,400,181,38,171
7,BOTOŞANI,"SCOALA SLOBOZIA",186,CORDĂRENI,36649,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:59",258,249,0,0,9,142,133,0,0,9,138,4,314,172,27,111
