precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IOVA ILIE-BEBE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUNCA ROMEO-DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","HURDUZEU FLORIN-SILVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","AXMANN DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","PLUJAR ANDREI GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"AZILUL DE BĂTRÂNI-CENTRU DE ZI",248,FOROTIC,52856,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:01",563,542,0,13,8,377,356,0,13,8,362,15,610,233,14,230,101,5,12
11,CARAŞ-SEVERIN,"BIBLIOTECA VALERIU LEU",255,GORUIA,52954,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 10:39:57",339,229,1,99,10,267,157,1,99,10,259,8,348,81,69,90,69,10,21
11,CARAŞ-SEVERIN,"CADIREA PRIMARIEI(FOSTUL SEDIU AL PRIMARIEI DIN SOCOLARI)",201,"CICLOVA ROMÂNĂ",51948,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 23:24:08",130,118,0,11,1,75,63,0,11,1,74,1,130,55,7,48,13,1,5
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",130,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:53:37",1267,1242,3,5,17,670,648,0,5,17,617,53,1367,697,58,181,320,24,34
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",131,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:22",168,162,0,6,0,106,100,0,6,0,104,2,179,73,2,72,24,1,5
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",140,"ORAŞ ORAVIŢA",51118,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:39:41",463,450,0,12,1,207,194,0,12,1,198,9,496,288,33,69,75,14,7
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL BORLOVENII VECHI",301,PRIGOR,53577,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:05:20",348,335,0,7,6,225,212,0,7,6,219,6,369,144,16,61,132,1,9
11,CARAŞ-SEVERIN,"CAMIN CULTURAL SICHEVITA",318,SICHEVIŢA,53853,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:08:28",1235,1161,2,14,58,879,805,2,14,58,828,51,1272,393,82,335,280,62,69
11,CARAŞ-SEVERIN,"CAMININUL CULTURAL-STANCILOVA DE JOS",332,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:28:16",89,78,0,8,3,76,65,0,8,3,74,2,84,8,7,24,34,1,8
11,CARAŞ-SEVERIN,"CAMINNUL CULTURAL STANCILOVA DE SUS",333,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:45:12",124,108,0,10,6,105,89,0,10,6,104,1,123,18,1,50,43,3,7
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",236,DOGNECEA,52696,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:41:34",90,74,0,4,12,64,48,0,4,12,64,0,80,16,0,8,55,0,1
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",316,"SASCA MONTANĂ",53791,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:13:14",294,266,0,17,11,226,198,0,17,11,216,10,319,93,16,112,78,4,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",239,"EFTIMIE MURGU",53700,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:44:41",1287,1222,2,14,49,915,852,0,14,49,881,34,1342,427,90,531,205,10,45
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",185,"BREBU NOU",51662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:20",518,333,7,176,2,341,163,0,176,2,341,0,554,213,14,143,148,1,35
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",292,PĂLTINIŞ,53425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:22:30",83,55,0,27,1,62,34,0,27,1,61,1,113,51,0,31,28,0,2
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",207,CIUDANOVIŢA,52035,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:54:04",111,87,0,21,3,92,69,0,20,3,92,0,102,10,1,17,72,2,0
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",253,GLIMBOCA,52936,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:19:07",1615,1511,10,36,58,934,866,1,9,58,907,12,1678,759,53,429,353,32,40
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",107,"ORAŞ BĂILE HERCULANE",50923,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:00:24",498,477,4,14,3,312,294,1,14,3,296,16,527,215,23,102,139,16,16
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",238,DOMAŞNEA,52721,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:33",320,276,0,21,23,266,222,0,21,23,253,13,330,64,112,71,54,3,13
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",283,NAIDĂŞ,53345,6,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:14:35",231,192,2,17,20,174,137,0,17,20,170,4,206,32,5,24,92,3,46
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",314,"SASCA MONTANĂ",53791,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:42:56",110,90,0,18,2,85,67,0,18,0,84,1,131,46,4,33,42,3,2
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",237,DOMAŞNEA,52721,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:54:40",831,702,1,83,45,634,506,0,83,45,615,19,822,188,34,294,254,15,18
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL APADIA",183,BREBU,51626,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:16",256,188,0,54,14,201,133,0,54,14,194,7,220,19,7,115,69,0,3
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ARMENIȘ",157,ARMENIŞ,51243,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:48:38",1108,1052,0,41,15,815,759,0,41,15,783,32,1155,340,58,295,405,14,11
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL BĂUȚARUL DE JOS",163,BĂUŢAR,51332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:20",676,629,0,29,18,461,414,0,29,18,447,14,696,235,44,174,189,26,14
