precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHÁLY FERENCZ-ATTILA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BIRO SÁNDOR-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMIN CULTURAL BICHIŞ",282,BICHIŞ,115771,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:02",145,133,0,8,4,93,81,0,8,4,92,1,145,52,73,19
28,MUREŞ,"CÃMIN CULTURAL GÎMBUŢ",283,BICHIŞ,115771,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:05:54",134,120,0,5,9,93,79,0,5,9,92,1,131,38,75,17
28,MUREŞ,"CĂMINUL CULTURAL OZD",285,BICHIŞ,115771,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:27",269,237,0,9,23,171,139,0,9,23,168,3,260,89,167,1
28,MUREŞ,"ŞCOALA PRIMARĂ NANDRA",284,BICHIŞ,115771,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:20",117,110,0,5,2,50,43,0,5,2,49,1,130,80,38,11
