precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂILĂ GHEORGHE-UNIUNEA CROAȚILOR DIN ROMÂNIA-voturi","HAŢEGAN IVAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CURIAC GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","GIURGIULENA ZORAN-IULIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CARAȘOVA",193,CARAŞOVA,51804,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:17:02",858,822,7,17,12,505,474,2,17,12,494,10,913,409,38,237,194,25
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL CARAȘOVA",194,CARAŞOVA,51804,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:24",1032,1003,1,10,18,579,551,0,10,18,549,30,1105,526,73,229,230,17
11,CARAŞ-SEVERIN,"ŞCOALA IABALCEA",195,CARAŞOVA,51804,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:44",202,164,0,34,4,159,121,0,34,4,149,10,177,18,25,99,24,1
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ NERMED",196,CARAŞOVA,51804,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:51",420,412,0,4,4,195,187,0,4,4,185,10,454,259,26,95,55,9
