precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DICU MIHAI-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GROZAVU NICULAIE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPOLAN GHEORGHE-VALERIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
40,VÂLCEA,"CAMINUL CULTURAL DĂEŞTI",209,DĂEŞTI,169351,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:31",743,732,4,7,0,437,427,3,7,0,420,17,800,363,54,15,351
40,VÂLCEA,"ŞCOALA BĂBUEŞTI",207,DĂEŞTI,169351,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:02:12",76,67,0,9,0,46,37,0,9,0,45,1,76,30,2,1,42
40,VÂLCEA,"ŞCOALA DĂEŞTI",206,DĂEŞTI,169351,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:47:04",825,804,0,13,8,524,503,0,13,8,505,19,900,376,86,15,404
40,VÂLCEA,"ŞCOALA FEDELEŞOIU",208,DĂEŞTI,169351,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:16",889,872,1,13,3,567,551,0,13,3,551,16,960,393,108,10,433
