precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HUZONI MARINA-PARTIDUL NAȚIONAL LIBERAL-voturi","OPRUŢ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","RODEAN MIHAI-EMIL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL GENERAL BERTHELOT - CLĂDIRE ANEXĂ AFTER SCHOOL",365,"GENERAL BERTHELOT",91731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:45",519,504,0,9,6,395,380,0,9,6,389,6,557,162,214,154,21
22,HUNEDOARA,"ȘCOALA PRIMARĂ TUȘTEA",366,"GENERAL BERTHELOT",91731,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:43",208,202,0,5,1,160,154,0,5,1,155,5,230,70,124,28,3
