precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRĂCIUNESCU IULIAN-AUGUSTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ILIE ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","VLĂDESCU VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"GRADINITA CU PROGRAM NORMAL CÂMPU MARE",188,DOBROTEASA,126772,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:52",420,378,1,26,15,261,220,0,26,15,249,11,414,154,198,14,37
30,OLT,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII DOBROTEASA",187,DOBROTEASA,126772,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:54",917,832,1,71,13,645,561,0,71,13,624,21,930,264,495,38,91
