precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”TREFÁN LEONÁRD” POIAN",177,POIAN,64719,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:56",1003,955,1,1,46,629,582,0,1,46,605,24,1100,471,372,233
15,COVASNA,"ŞCOALA PRIMARĂ ”TUZSON JÁNOS” BELANI",178,POIAN,64719,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:04:34",393,379,2,1,11,242,230,0,1,11,236,6,431,189,169,67
