precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ȘCOALA CU CLASELE I-VIII AVRĂMEȘTI",365,SCUNDU,172947,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:36",621,577,1,15,28,400,356,1,15,28,385,15,660,260,117,34,186,5,2,22,19
40,VÂLCEA,"ȘCOALA CU CLASELE I-VIII SCUNDU",364,SCUNDU,172947,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:21",853,788,0,18,47,589,524,0,18,47,546,43,930,341,114,102,278,18,1,31,2
