precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLAN STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIOVEANU PETRICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SANDU NĂSTASE-PARTIDUL NAȚIONAL LIBERAL-voturi","SBURLEA MĂDĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
38,TULCEA,"SCOALĂ GIMNAZIALĂ ” DOBRE VLĂDESCU” TURCOAIA",199,TURCOAIA,161464,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:17",1202,1160,1,8,33,796,755,0,8,33,781,15,1279,468,178,163,425,15
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”DOBRE VLĂDESCU” TURCOAIA",198,TURCOAIA,161464,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:21:08",1402,1356,2,3,41,984,938,2,3,41,970,14,1539,554,172,215,557,26
