precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
16,DÂMBOVIŢA,"DISPENSAR UMAN GULIA",387,TĂRTĂŞEŞTI,105534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:09",1074,1049,1,23,1,668,644,0,23,1,652,16,1150,482,48,34,467,36,44,23
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”MARIN GRIGORE NĂSTASE” TĂRTĂȘEȘTI,",385,TĂRTĂŞEŞTI,105534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:24",960,947,3,10,0,582,572,0,10,0,564,18,1050,468,44,32,318,104,58,8
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BÂLDANA - TĂRTĂŞEŞTI,",386,TĂRTĂŞEŞTI,105534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:11",1397,1387,3,7,0,796,788,1,7,0,770,26,1525,729,138,51,411,94,62,14
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ TĂRTĂŞEŞTI",384,TĂRTĂŞEŞTI,105534,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:47",853,837,1,15,0,497,482,0,15,0,477,20,927,430,40,47,277,93,13,7
