precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ SĂULEȘTI",291,SĂULEŞTI,81816,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:40:49",1275,1185,1,58,31,884,795,0,58,31,856,28,1300,416,85,79,8,664,20
20,GORJ,"ȘCOALA PRIMARĂ BIBEȘTI",292,SĂULEŞTI,81816,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:06:29",620,585,0,17,18,405,370,0,17,18,383,22,671,266,16,15,15,302,35
