precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUSU DAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIURGIU DOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","GIURGIU AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","SUCIU NICOLETA-voturi"
13,CLUJ,"CAMINUL CULTURAL LUNCANI",528,LUNA,58311,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:01",1199,1176,1,6,16,597,574,1,6,16,582,15,1310,713,20,121,306,135
13,CLUJ,"CĂMINUL CULTURAL ”PROF. NICOLAE MAZARE” LUNA",526,LUNA,58311,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:35",1042,1020,1,5,16,569,548,0,5,16,544,25,1147,578,22,85,244,193
13,CLUJ,"CĂMINUL CULTURAL ”PROF. NICOLAE MAZARE” LUNA",525,LUNA,58311,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:59",1110,1070,3,9,28,567,530,0,9,28,554,13,1215,648,6,89,167,292
13,CLUJ,"GRĂDINIŢA CU PROGRAM NORMAL GLIGORESTI",527,LUNA,58311,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:44:14",488,470,1,5,12,281,264,0,5,12,261,20,517,236,23,72,122,44
