precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BERES MARIUS-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SĂLĂJAN NATALIA-IOANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AZURAC GHEORGHE-CRISTIAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CHIŞ STELIAN-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","SÎRCA GAVRIL-FORȚA DREPTEI-voturi","ERDEI ZSIGMOND-voturi"
32,"SATU MARE","SCOALA GENERALA BERVENI",143,BERVENI,137032,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:10",1671,1620,7,8,36,988,944,2,8,34,958,30,1800,812,3,10,621,20,1,303
32,"SATU MARE","SCOALA GENERALA LUCACENI",144,BERVENI,137032,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:35",1255,1220,0,3,32,746,713,0,3,30,702,44,1340,594,65,73,234,197,16,117
