precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
15,COVASNA,"CĂMINUL CULTURAL HILIB",169,OJDULA,64602,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:43:59",212,204,1,6,1,132,125,0,6,1,130,2,300,168,102,2,7,19
15,COVASNA,"CĂMINUL CULTURAL ”ZSÖGÖN ZOLTÁN” OJDULA CLUBUL TINERETULUI",167,OJDULA,64602,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:16",1422,1409,0,5,8,557,544,0,5,8,514,43,1479,922,219,13,113,169
15,COVASNA,"CĂMINUL CULTURAL ”ZSÖGÖN ZOLTÁN” OJDULA SALA MARE",168,OJDULA,64602,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:57",1372,1336,1,13,22,713,678,0,13,22,663,50,1500,787,365,24,30,244
