precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞERBAN MITICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","BLAJ LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IORDACHE MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANTIN GEORGEL-voturi"
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL DUNĂREA",536,SEIMENI,62903,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:43:11",539,536,0,3,0,316,313,0,3,0,298,16,574,258,85,198,3,12
14,CONSTANŢA,"GRĂDINITĂ CU PROGRAM NORMAL SEIMENII MICI",537,SEIMENI,62903,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:32",730,717,1,6,6,435,423,0,6,6,425,10,789,354,356,26,24,19
14,CONSTANŢA,"ŞCOALA CU CLS I-VIII SEIMENI",535,SEIMENI,62903,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:44:21",441,441,0,0,0,261,261,0,0,0,257,4,473,212,159,55,26,17
