precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRACHE ION-PARTIDUL NAȚIONAL LIBERAL-voturi","NEGRARU FLORINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","IVĂNUŞ SEBASTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GÂRBĂCEA GEORGE-MĂDĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CAMIN CULTURAL PLATONEŞTI",189,PLATONEŞTI,180000,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:05:55",757,726,1,21,9,480,450,0,21,9,474,6,800,320,4,287,52,131
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ PLATONEȘTI",190,PLATONEŞTI,180000,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:33",755,722,0,24,9,512,479,0,24,9,504,8,806,294,2,211,203,88
