precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SZAKÁCS-PAÁL ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","EMBER ATTILA-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","GÁLFI ÁRPÁD-PARTIDUL PENTRU ODORHEIU SECUIESC-voturi"
21,HARGHITA,"CASĂ DE CULTURĂ",40,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:12",1283,1264,3,10,6,646,630,0,10,6,629,17,1600,954,481,22,126
21,HARGHITA,"COLEGIUL REFORMAT ”BACZKAMADARASI KIS GERGELY”",38,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:25:19",1707,1670,10,10,17,979,952,0,10,17,962,17,1800,821,765,23,174
21,HARGHITA,"COLEGIUL REFORMAT ”BACZKAMADARASI KIS GERGELY”",39,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:43",1043,1009,2,9,23,397,365,0,9,23,391,6,1100,703,306,18,67
21,HARGHITA,"GRĂDINIȚA „KIPI-KOPI” STRUCTURA BETHLENFALVI",56,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:58",1704,1683,9,10,2,1017,1004,1,10,2,996,21,1800,783,601,10,385
21,HARGHITA,"GRĂDINIȚA „VILLANYTELEP”",43,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:54:38",1245,1197,4,8,36,578,535,0,8,35,573,5,1300,722,464,16,93
21,HARGHITA,"GRĂDINIŢA ”ZSIBONGÓ”",37,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:22:28",1200,1195,2,3,0,530,527,0,3,0,519,11,1300,770,401,23,95
21,HARGHITA,"LICEUL „MARIN PREDA” ODORHEIU SECUIESC",36,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:41:56",1739,1725,7,7,0,946,937,2,7,0,932,14,1900,954,702,47,183
21,HARGHITA,"LICEUL TEHNOLOGIC ”KÓS KÁROLY”",42,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:11:50",1522,1503,12,6,1,748,741,0,6,1,728,20,1600,852,606,15,107
21,HARGHITA,"LICEUL TEHNOLOGIC ”KÓS KÁROLY”",41,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:19",1628,1611,3,13,1,884,870,0,13,1,869,15,1800,914,677,24,168
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",49,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:04:16",1283,1275,3,4,1,669,664,0,4,1,657,12,1400,731,518,19,120
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",47,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:29:59",1262,1248,5,9,0,633,624,0,9,0,621,12,1600,967,470,23,128
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",50,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:05:46",1335,1324,2,8,1,671,662,0,8,1,663,8,1500,829,505,145,13
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",51,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:02",1375,1364,4,6,1,534,527,0,6,1,517,17,1500,966,393,14,110
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”BETHLEN GÁBOR”",48,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:47:57",1269,1258,5,6,0,584,577,1,6,0,571,13,1400,816,440,23,108
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MÓRA FERENC”",54,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:27:36",1414,1411,0,1,2,680,677,0,1,2,672,8,1600,920,519,18,135
