precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BOCȘA",115,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:13",1438,1413,1,13,11,695,671,0,13,11,670,17,1558,871,50,194,329,59,38
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CONSTANTIN LUCACI” BOCSA",117,"ORAŞ BOCŞA",50969,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:31:46",1492,1478,2,6,6,602,590,0,6,6,585,17,1627,1025,66,148,319,25,27
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC „CONSTANTIN LUCACI” BOCȘA",118,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:30",1221,1214,2,3,2,485,480,0,3,2,464,21,1339,854,47,137,251,17,12
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",113,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:30",819,803,0,11,5,343,327,0,11,5,325,7,885,553,20,73,208,16,8
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",112,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:45",1074,1058,0,11,5,428,412,0,11,5,417,11,1165,737,32,73,274,18,20
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",114,"ORAŞ BOCŞA",50969,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:20:06",1236,1205,1,11,19,507,476,1,11,19,488,19,1327,820,30,119,279,32,28
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1",119,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:21",1203,1185,1,9,8,488,472,0,9,7,454,27,1308,827,49,130,245,15,15
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR.1",110,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:24:32",1357,1319,3,9,26,500,464,1,9,26,483,17,1453,953,31,170,248,23,11
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 BOCŞA",108,"ORAŞ BOCŞA",50969,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:26",1331,1312,4,10,5,552,537,0,10,5,507,30,1451,914,30,113,316,31,17
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 BOCŞA",109,"ORAŞ BOCŞA",50969,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:11:57",1090,1072,1,9,8,460,446,0,9,5,446,14,1184,724,37,135,227,24,23
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 BOCŞA - SALA DE SPORT",111,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:45",1313,1298,1,1,13,569,554,1,1,13,547,22,1431,862,35,173,293,18,28
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2 BOCŞA",116,"ORAŞ BOCŞA",50969,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:06:06",1356,1338,1,9,8,632,615,0,9,8,582,50,1473,841,14,291,238,29,10
