precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GEORGESCU CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢUIANU MARIAN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNGUREANU ION-PARTIDUL NAȚIONAL LIBERAL-voturi"
40,VÂLCEA,"ŞCOALA MUEREASCA DE JOS",308,MUEREASCA,171539,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:08",894,891,0,3,0,456,453,0,3,0,442,14,990,534,134,47,261
40,VÂLCEA,"ŞCOALA MUEREASCA DE SUS",309,MUEREASCA,171539,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:02",1125,1121,0,4,0,591,587,0,4,0,579,12,1230,639,238,77,264
