precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞERBAN SILVIU-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","BADEA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANGHEL IOANA-SIMONA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHIŢĂ COSTINEL-FORȚA DREPTEI-voturi"
31,PRAHOVA,"CAMINUL CULTURAL FULGA DE JOS",427,FULGA,133394,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:04:38",1204,1165,0,15,24,771,732,0,15,24,747,24,1285,514,528,191,16,12
31,PRAHOVA,"SCOALA GIMNAZIALA ”LAURENTIU FULGA”",428,FULGA,133394,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:20:22",1324,1272,3,24,25,886,837,1,24,24,859,27,1379,493,599,223,15,22
