precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STĂNESCU GRIGORE-PARTIDUL NAȚIONAL LIBERAL-voturi","STOICESCU STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU LUCIA-FORȚA DREPTEI-voturi"
30,OLT,"ŞCOALA CU CLASELE I-VIII CHILIA",193,FĂGEŢELU,126905,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:32",357,238,0,113,6,307,188,0,113,6,292,15,350,43,12,246,10,24
30,OLT,"ŞCOALA GIMNAZIALĂ FĂGEŢELU",192,FĂGEŢELU,126905,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:30",503,380,0,102,21,371,248,0,102,21,353,18,517,146,36,212,34,71
