precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARDALE SANDU-NICU-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL PIATRA",235,PIATRA,153561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:37:18",702,639,0,56,7,546,483,0,56,7,522,14,750,214,146,21,248,75,32
36,TELEORMAN,"SALA DE PROTOCOL PRIMĂRIA COMUNEI PIATRA",236,PIATRA,153561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:09",821,767,1,36,17,543,490,0,36,17,489,16,840,335,73,12,302,90,12
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ PIATRA",234,PIATRA,153561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:44",868,825,0,34,9,641,598,0,34,9,621,20,920,279,102,6,346,142,25
