precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HOPINCĂ RAREŞ-ALIANȚA ELECTORALĂ PSD PNL-voturi","MIHAIU RADU-NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BUGHIU IOLANDA-LUMINIŢA-PARTIDUL S.O.S. ROMÂNIA-voturi","GOLGOŢIU ANDREI-GABRIEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",312,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:50:26",1288,1273,7,8,0,627,619,0,8,0,612,15,1400,773,253,287,35,37
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",311,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-12 02:29:24",1546,1508,30,8,0,705,697,0,8,0,686,19,1600,895,287,310,50,39
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",350,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:17:42",1125,1098,15,9,3,491,479,0,9,3,481,10,1200,709,178,259,25,19
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",351,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:59:47",886,869,10,7,0,321,314,0,7,0,317,4,1000,679,122,145,29,21
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",352,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:24:49",1327,1310,9,8,0,646,637,1,8,0,631,15,1600,953,207,47,333,44
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",353,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:00:13",1419,1398,17,4,0,619,615,0,4,0,604,14,1600,981,271,240,60,33
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",354,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:01:48",1341,1316,16,9,0,620,611,0,9,0,607,13,1600,980,235,297,37,38
45,"Sector 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",355,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:50:16",1590,1575,0,15,0,697,682,0,15,0,674,23,1700,1003,261,333,41,39
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",333,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:34:32",936,898,17,14,7,428,405,2,14,7,410,18,1204,775,135,230,19,26
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",336,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 22:59:07",1452,1414,35,3,0,651,645,3,3,0,630,21,1600,949,266,294,37,33
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",335,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:48:09",1129,1101,19,8,1,481,470,2,8,1,457,24,1215,734,211,172,44,30
45,"Sector 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",334,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:13:15",1160,1147,1,12,0,598,585,1,12,0,582,16,1300,702,210,298,28,46
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",317,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:24:05",1362,1337,13,11,1,647,635,0,11,1,632,15,1600,951,258,305,35,34
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",318,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:25:48",1083,1048,20,13,2,551,537,0,12,2,530,20,1200,650,205,237,49,39
45,"Sector 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",319,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 16:39:17",1727,1700,10,12,5,749,731,1,12,5,725,15,1700,946,321,316,51,37
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",304,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:54:22",641,638,0,3,0,641,638,0,3,0,619,19,1600,959,275,286,32,26
