precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",183,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:21",1380,1363,1,16,0,740,723,1,16,0,714,9,1490,767,62,59,51,31,28,435,16,26,1,5
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",182,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:25",1703,1674,19,10,0,706,696,0,10,0,685,21,1850,1144,96,203,70,38,23,146,22,39,7,41
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL CISNĂDIOARA",184,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:33",842,777,49,16,0,296,274,6,16,0,294,2,900,604,29,60,13,46,27,100,4,5,3,7
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",179,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:54:06",1607,1583,11,13,0,734,720,1,13,0,719,15,1740,1006,65,67,64,34,24,416,8,28,4,9
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",180,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:17:41",1674,1630,20,23,1,792,768,0,23,1,780,12,1820,1028,62,51,54,45,15,496,13,27,5,12
34,SIBIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",181,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:17:09",1426,1402,11,13,0,640,627,0,13,0,633,7,1570,930,40,52,52,37,7,379,26,24,4,12
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.6",172,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:02:41",1339,1331,3,5,0,549,544,0,5,0,532,17,1500,951,79,154,54,36,29,81,16,35,17,31
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.7",170,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:28:50",1635,1628,1,6,0,684,678,0,6,0,672,12,1753,1069,88,247,48,24,34,131,20,47,11,22
34,SIBIU,"LICEUL TEHNOLOGIC",175,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:21",1568,1545,13,10,0,667,656,1,10,0,652,15,1720,1053,99,185,64,60,32,105,27,31,12,37
34,SIBIU,"LICEUL TEHNOLOGIC CISNĂDIE",177,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:21",1114,1103,2,9,0,496,487,0,9,0,479,17,1220,724,54,151,52,34,16,90,17,33,6,26
34,SIBIU,"LICEUL TEHNOLOGIC CISNĂDIE",178,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:16",1098,1081,9,8,0,470,461,1,8,0,448,22,1200,730,56,169,69,17,11,50,27,25,0,24
34,SIBIU,"LICEUL TEORETIC ”GUSTAV GUNDISCH” CISNĂDIE",174,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:44:19",1811,1801,3,6,1,761,753,1,6,1,729,21,1980,1230,93,272,74,65,34,71,25,48,9,38
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 2 CISNĂDIE",176,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:13:52",1825,1802,9,13,1,860,846,0,13,1,828,28,2000,1144,76,251,67,62,51,136,45,65,15,60
34,SIBIU,"ȘCOALA GIMNAZIALĂ NR. 3",171,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:08:28",1416,1399,7,10,0,609,599,0,10,0,592,17,1600,991,80,179,59,23,27,101,35,29,23,36
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.3 CISNĂDIE",173,"ORAŞ CISNĂDIE",143735,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:40",1577,1546,7,18,6,715,691,0,18,6,698,17,1750,1035,84,230,43,68,56,123,26,37,1,30
