precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARINESCU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ALEXE MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"AFTER SCHOOL BĂRBULEŢU",140,BĂRBULEŢU,66223,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:54",1270,1270,0,0,0,698,698,0,0,0,651,47,1400,702,62,589
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII GURA BĂRBULEȚULUI",141,BĂRBULEŢU,66223,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:51:13",469,467,0,2,0,248,246,0,2,0,240,8,510,262,25,215
