precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURCU NICU-PARTIDUL SOCIAL DEMOCRAT-voturi","TOMA GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞERBAN IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUSU SIMONA-MIRELA-UNIUNEA SALVAȚI ROMÂNIA-voturi","MATEI NICOLAIE-FORȚA DREPTEI-voturi"
9,BRĂILA,"ȘCOALA GIMNAZIALĂ CUZA - VODĂ",239,STĂNCUŢA,44060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:48",1171,1152,0,7,12,773,754,0,7,12,745,21,1322,556,338,138,240,5,24
9,BRĂILA,"ȘCOALA GIMNAZIALA STĂNCUȚA",238,STĂNCUŢA,44060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:55",1201,1167,3,9,22,842,811,0,9,22,829,13,1250,408,325,437,60,1,6
9,BRĂILA,"ȘCOALA STANCA",240,STĂNCUŢA,44060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:16",349,326,0,18,5,233,210,0,18,5,228,4,360,128,78,87,20,15,28
