precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRÎMU ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi","PÎRLOGEA CĂTĂLIN-IONUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","BOCAI ELEONOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEGRILĂ MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BRAN MARIUS-CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CÂŢA ION-PARTIDUL PRO ROMÂNIA-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ TRAIAN",343,TRAIAN,129567,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:03",1222,1188,0,5,29,807,773,0,5,29,785,22,1331,524,418,60,46,155,73,33
30,OLT,"ŞCOALA GIMNAZIALĂ TRAIAN",342,TRAIAN,129567,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:41",1132,1091,0,6,35,735,694,0,6,35,696,39,1235,500,346,29,73,134,79,35
