precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU VICTOR-LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","LĂZĂRESCU ILIE-COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MANTEA RADU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IORGULESCU STELIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi","RADU MARIAN-MARIUS-PARTIDUL S.O.S. ROMÂNIA-voturi"
36,TELEORMAN,"LOCALUL ŞCOLII CU CLASELE I-IV ALBENI",274,"SCURTU MARE",154068,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:22",151,124,0,7,20,97,70,0,7,20,93,4,133,36,30,35,27,1,0
36,TELEORMAN,"LOCALUL ŞCOLII CU CLASELE I-IV DRACESTI",275,"SCURTU MARE",154068,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:37",305,244,0,42,19,242,181,0,42,19,235,7,280,38,99,90,46,0,0
36,TELEORMAN,"LOCALUL ŞCOLII GENERALE CU CLASELE I – VIII SCURTU MARE",273,"SCURTU MARE",154068,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:37",906,755,1,82,68,754,604,0,82,68,690,23,830,117,43,309,333,2,3
