precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi"
14,CONSTANŢA,"ŞCOALA CU CLASELE I -IV",483,MERENI,62137,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:53:51",223,220,0,2,1,146,143,0,2,1,142,4,243,97,50,45,2,26,12,7
14,CONSTANŢA,"ŞCOALA CU CLASELE I - VIII",484,MERENI,62137,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:07:25",481,478,0,2,1,322,319,0,2,1,316,6,527,205,53,217,3,27,1,15
14,CONSTANŢA,"SCOALA GIMNAZIALA NICHITA STANESCU",482,MERENI,62137,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:30",1209,1170,1,9,29,753,715,0,9,29,719,34,1289,536,273,117,63,54,116,96
