precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FECHETE SIDOR-UNIUNEA SALVAȚI ROMÂNIA-voturi","FECHETE SIMONA-SILVIA-PARTIDUL NAȚIONAL LIBERAL-voturi","SÎRBU VALENTIN-MARIUS-PARTIDUL ECOLOGIST ROMÂN-voturi"
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM NORMAL IOHANISFELD",503,OTELEC,159525,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:04",886,874,1,6,5,402,391,0,6,5,384,18,965,560,61,305,18
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ OTELEC",502,OTELEC,159525,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:04",680,664,1,11,4,309,294,0,11,4,300,9,700,391,35,237,28
