precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PINTE IOANA-CRISTINA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","MATE MARTA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","NISTOR LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MUZSIC ROBERT-EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","APARASCHIVEI CONSTANTIN-DORU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","MARIAN CĂLIN-PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MANE MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:43:49",882,873,3,4,2,450,444,0,4,2,413,31,900,456,14,19,204,30,6,78,62
22,HUNEDOARA,"AFTER SCHOOL",318,BUCEŞ,88788,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:08:02",331,324,0,3,4,228,221,0,3,4,214,14,345,117,1,2,86,4,1,78,42
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:44:05",1300,1289,2,9,0,454,445,0,9,0,427,27,1400,946,22,21,181,32,7,77,87
22,HUNEDOARA,"ASOCIAȚIA COMPOSESORALĂ ”NOBIL” ZEICANI - MAGAZIN ZEICANI",455,SARMIZEGETUSA,91054,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:03:14",90,82,0,1,7,70,62,0,1,7,67,3,100,30,0,4,37,2,0,17,7
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:53:32",1392,1383,1,8,0,493,485,0,8,0,462,31,1500,1007,27,16,237,15,10,57,100
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:26:54",1642,1615,0,3,24,544,517,0,3,24,496,48,1800,1256,1,20,245,26,18,45,141
22,HUNEDOARA,"CĂMIN CULTURAL BOŞ (GRĂDINIŢA)",107,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:58",514,503,2,9,0,224,215,0,9,0,208,16,550,326,4,13,115,15,0,35,26
22,HUNEDOARA,"CĂMIN CULTURAL MERIA",394,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:59:06",191,191,0,0,0,159,159,0,0,0,144,15,210,51,0,1,13,31,0,93,6
22,HUNEDOARA,"CĂMIN CULTURAL MUNCELU MARE",514,VEŢEL,91982,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:55:16",59,51,0,8,0,38,30,0,8,0,38,0,69,31,0,1,13,0,0,17,7
22,HUNEDOARA,"CĂMIN CULTURAL NEGOIU",395,"LUNCA CERNII DE JOS",90119,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:02:35",155,143,7,5,0,103,98,0,5,0,101,2,160,57,0,1,21,2,0,69,8
