precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GALIŞ FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIONCA-ARGHIR IUSTIN-MARINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","FIFOR MIHAI-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","PERO TAMAS-CAROL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOROŢIU FLORIN-DORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL RAZVAN-PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","KISS DAN-MIHAI-PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"ŞCOALA GENERALĂ LALAŞINŢ",201,BÂRZAVA,10104,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:27:59",259,224,0,17,18,166,131,0,17,18,162,4,270,104,1,13,137,0,4,4,3
2,ARAD,"ŞCOALA GENERALĂ MAILAT",415,VINGA,12643,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:37",855,821,3,16,15,404,372,1,16,15,384,20,910,506,25,42,20,271,15,6,5
2,ARAD,"ŞCOALA GENERALĂ MĂNĂŞTUR",416,VINGA,12643,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:25:24",1004,988,3,5,8,568,554,1,5,8,501,67,1080,512,38,280,142,4,19,8,10
2,ARAD,"ŞCOALA GENERALĂ MONOROŞTIA",202,BÂRZAVA,10104,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:53",258,243,3,7,5,140,128,0,7,5,135,5,270,130,14,21,89,0,0,2,9
2,ARAD,"ŞCOALA GENERALĂ MOŢIORI",183,APATEU,9798,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:17:00",225,218,0,1,6,157,150,0,1,6,148,9,250,93,10,50,64,1,1,19,3
2,ARAD,"ŞCOALA GIMNAZIALĂ",367,ŞAGU,12144,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:44:38",482,463,2,11,6,268,251,0,11,6,246,22,510,242,15,195,20,2,0,9,5
2,ARAD,"ŞCOALA GIMNAZIALĂ „ADAM NICOLAE” (FOSTA ŞCOALĂ GENERALĂ NR. 7)",113,"MUNICIPIUL ARAD",9262,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:28:37",1429,1403,11,11,4,586,571,0,11,4,565,21,1570,984,97,179,106,41,14,94,34
2,ARAD,"ŞCOALA GIMNAZIALĂ „ADAM NICOLAE” (FOSTA ŞCOALĂ GENERALĂ NR. 7)",112,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:17:13",1283,1266,14,3,0,479,476,0,3,0,446,24,1420,950,92,145,92,22,14,51,30
2,ARAD,"ŞCOALA GIMNAZIALĂ „ADAM NICOLAE” (FOSTA ŞCOALĂ GENERALĂ NR. 7)",111,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:05:29",1628,1595,2,7,24,540,507,2,7,24,508,31,1770,1231,95,128,124,51,19,46,45
2,ARAD,"ȘCOALA GIMNAZIALĂ AGRIŞU MARE",394,TÂRNOVA,12509,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:16:19",981,939,1,13,28,665,624,0,13,28,646,19,1030,365,65,237,307,2,10,10,15
