precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PLOSCARU GIGI-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŢUILĂ FLORINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ALBICI DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
20,GORJ,"CĂMINUL CULTURAL LUPOAIA",183,CĂTUNELE,79585,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:41",741,729,0,11,1,505,493,0,11,1,496,9,800,295,49,423,24
20,GORJ,"GRĂDINIȚA VALEA PERILOR",185,CĂTUNELE,79585,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:04",552,547,0,5,0,363,358,0,5,0,350,13,629,266,21,307,22
20,GORJ,"ȘCOALA GIMNAZIALĂ ”MAZILU VIPIE GHEORGHE”",184,CĂTUNELE,79585,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:38",327,320,0,5,2,221,214,0,5,2,217,4,400,179,9,203,5
20,GORJ,"ȘCOALA PRIMARĂ DEALU VIILOR",182,CĂTUNELE,79585,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:03",500,499,1,0,0,347,347,0,0,0,336,11,500,153,18,306,12
