precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","PAVEL MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAELE",153,BREZOAELE,101341,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:35",1100,1051,2,27,20,853,806,0,27,20,835,17,1156,304,492,343
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",155,BREZOAELE,101341,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:14",1007,980,0,10,17,814,787,0,10,17,796,18,1062,248,506,290
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",154,BREZOAELE,101341,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:51",799,779,0,11,9,644,624,0,11,9,629,15,857,213,401,228
