precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FULGA SIMION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FLOREA GEORGE-AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","MANEA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:34:28",124,118,0,3,3,89,83,0,3,3,88,1,132,43,7,14,67
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 1 SAT GĂISENI , COM GĂISENI ,",126,GĂISENI,103087,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:58",802,772,0,6,24,492,462,0,6,24,482,10,870,378,54,48,380
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 1 SAT GĂISENI , COM GĂISENI .",125,GĂISENI,103087,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:43",990,967,1,3,19,506,484,0,3,19,491,15,1082,576,64,65,362
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 2 , SAT CĂSCIOARELE COM GĂISENI",128,GĂISENI,103087,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:12:32",900,879,0,11,10,480,459,0,11,10,452,28,978,498,10,177,265
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 2 SAT CĂSCIOARELE , COM GĂISENI",129,GĂISENI,103087,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:42",736,716,0,4,16,424,404,0,4,16,404,20,809,385,23,128,253
19,GIURGIU,"ȘCOALA PRIMARĂ NR. 3 SAT CĂRPENIȘU , COM GĂISENI",127,GĂISENI,103087,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:15:08",699,664,0,35,0,433,398,0,35,0,417,16,743,310,30,103,284
