precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROBITU COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GUGIU FLORICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MANGIUREA VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LUNGU GEORGE-FORȚA DREPTEI-voturi"
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII NR.1",175,CIOCILE,42968,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:42:22",699,691,0,2,6,450,442,0,2,6,437,13,800,349,191,6,224,16
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII NR.2 „ALEXANDRU TURTOI”",176,CIOCILE,42968,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:28",736,727,0,1,8,509,500,0,1,8,497,12,770,261,210,5,259,23
9,BRĂILA,"ȘCOALA PRIMARA PRI CHICHINEȚU",177,CIOCILE,42968,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:27",401,394,0,5,2,244,237,0,5,2,234,10,407,163,101,2,101,30
