precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
3,ARGEŞ,"CĂMIN CULTURAL POIENARI",431,"POIENARII DE ARGEŞ",17913,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:28",596,564,0,22,10,453,421,0,22,10,436,11,620,173,252,138,46
3,ARGEŞ,"ŞCOALA GENERALĂ I-IV IOANICEŞTI",432,"POIENARII DE ARGEŞ",17913,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:18",203,185,0,14,4,151,133,0,14,4,151,0,200,0,89,44,18
