precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STAN DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRICĂ EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi"
38,TULCEA,"ȘCOALA GIMNAZIALĂ CEAMURLIA DE JOS",96,"CEAMURLIA DE JOS",160092,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:02:52",981,962,1,4,14,468,450,0,4,14,453,15,962,494,306,147
38,TULCEA,"ŞCOALA PRIMARĂ LUNCA",97,"CEAMURLIA DE JOS",160092,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:55:10",1018,992,0,6,20,497,471,0,6,20,475,22,1118,621,165,310
