precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","BUTAN SEBASTIAN-DANIEL-voturi"
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",140,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:36",463,450,0,12,1,207,194,0,12,1,190,15,496,289,41,13,12,82,11,31
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL RĂCHITOVA",144,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:03",290,279,0,11,0,152,141,0,11,0,150,2,308,156,68,11,7,56,5,3
11,CARAŞ-SEVERIN,"CREŞA CĂMIN",139,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:11:57",927,916,0,10,1,397,386,0,10,1,378,17,1015,620,63,22,32,176,49,36
11,CARAŞ-SEVERIN,"GRĂDINIŢA PN NR. 2",134,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:55",857,841,4,6,6,418,405,1,6,6,414,4,934,516,108,46,37,153,33,37
11,CARAŞ-SEVERIN,"GRĂDINȚA CU PROGRAM NORMAL",143,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:21",502,493,1,5,3,223,215,0,5,3,212,11,547,324,38,19,12,101,33,9
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ” MIHAI NOVAC” ORAVIŢA",135,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:19:09",1143,1128,1,9,5,456,442,0,9,5,411,20,1246,815,55,53,33,178,54,38
11,CARAŞ-SEVERIN,"LICEUL TEORETIC ”GENERAL DRAGALINA”",133,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:57",798,790,2,6,0,343,337,0,6,0,319,24,874,531,52,36,33,110,38,50
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR. 3 ORAVIŢA",132,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:20",976,965,0,8,3,410,399,0,8,3,399,11,1066,656,89,38,34,150,45,43
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ” ROMUL LADEA ”ORAVIŢA",136,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:26",1216,1178,10,23,5,514,486,0,23,5,495,19,1315,795,97,62,37,229,38,32
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ” ROMUL LADEA” ORAVIŢA",138,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:39",981,968,0,12,1,388,375,0,12,1,368,20,1069,681,71,31,20,187,38,21
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ”ROMUL LADEA” ORAVIŢA",137,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:19:55",1402,1395,1,4,2,550,543,1,4,2,533,17,1541,991,81,53,32,276,67,24
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ AGADICI",141,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:10:20",155,144,0,11,0,74,63,0,11,0,72,2,158,84,12,11,4,36,3,6
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ BRĂDIŞORU DE JOS",142,"ORAŞ ORAVIŢA",51118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:35:34",435,422,0,11,2,182,169,0,11,2,174,7,466,284,45,14,16,88,2,9
