precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PASCAL DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOCAN MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","CIURESCU ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
39,VASLUI,"P.A.P.I. - ACCES INTERNET, BORODEŞTI",407,POCHIDIA,167311,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:53:40",233,228,0,2,3,119,114,0,2,3,116,3,253,134,3,99,14
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR.1 , SĂLCENI",408,POCHIDIA,167311,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:58:51",777,758,0,3,16,434,415,0,3,16,410,24,855,421,22,335,53
39,VASLUI,"ȘCOALA PRIMARĂ POCHIDIA",406,POCHIDIA,167311,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:08:15",330,316,0,2,12,189,175,0,2,12,161,14,364,189,16,137,8
