precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIURTU MARIUS-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NONEA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRE DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2",193,LIŢA,151763,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:56:14",1074,1022,0,22,30,681,629,0,22,30,662,19,1110,429,211,438,13
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ LIȚA",192,LIŢA,151763,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:43:29",1021,984,0,8,29,695,658,0,8,29,681,14,1072,377,137,525,19
