precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ACUM-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL BĂRBĂTEŞTI",166,BĂRBĂTEŞTI,168559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:26:43",1161,1152,0,9,0,696,687,0,9,0,659,37,1270,574,310,289,33,27
40,VÂLCEA,"FOSTA ŞCOALĂ CU CLASELE I-IV BODEŞTI",164,BĂRBĂTEŞTI,168559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:28",726,723,0,3,0,429,426,0,3,0,388,41,800,371,154,179,39,16
40,VÂLCEA,"SCOALA GIMNAZIALĂ BODEȘTI",165,BĂRBĂTEŞTI,168559,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:37",702,694,1,7,0,382,375,0,7,0,369,13,754,372,164,161,35,9
