precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VOLT ROMANIA-voturi","FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:58:31",1374,1340,3,11,20,887,855,1,11,20,872,15,1484,597,97,399,256,45,37,38
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ MIHAIL KOGĂLNICEANU",173,"MIHAIL KOGĂLNICEANU",93995,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:23",1259,1224,1,8,26,802,767,1,8,26,777,25,1350,548,78,357,220,43,27,52
