precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","MATEESCU IOANA-voturi"
9,BRĂILA,"SCOALA GIMNAZIALA VICTORIA",273,VICTORIA,44435,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:12",843,839,0,0,4,548,544,0,0,4,531,17,922,374,213,219,83,10,0,6
9,BRĂILA,"SCOALA GIMNAZIALA VICTORIA",274,VICTORIA,44435,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:00",805,799,1,1,4,554,548,1,1,4,539,15,878,324,201,206,119,6,1,6
9,BRĂILA,"SCOALA GIMNAZIALA VICTORIA STRUCTURA SCOLARA GIMNAZIALA MIHAI BRAVU",275,VICTORIA,44435,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:54",1156,1151,0,4,1,730,725,0,4,1,713,17,1260,530,506,136,32,31,6,2
