precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂRCOIANU MUGUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA REMUS-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
40,VÂLCEA,"LICEUL TEORETIC",287,MĂCIUCA,171101,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:45",732,640,1,56,35,528,437,0,56,35,515,13,750,222,382,133
40,VÂLCEA,"ȘCOALA CU CLASELE I-IV ZĂVOIENI",289,MĂCIUCA,171101,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:28",253,234,0,8,11,185,166,0,8,11,180,5,274,89,128,52
40,VÂLCEA,"ŞCOALA GENERALĂ POPEŞTI, COMUNA MĂCIUCA, SATUL POPEŞTI",288,MĂCIUCA,171101,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:09",351,334,0,12,5,231,214,0,12,5,227,4,400,169,125,102
