precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRICA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","BALANIŞCU BOGDAN-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUHODARU TUDOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PINTILEI MIHAIL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BODEA MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BLĂJUŢ VIOREL-IONEL-PARTIDUL SOCIETĂȚII IEȘENE-voturi","CHICHIRĂU COSETTE-PAULA-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","ABALAŞEI CĂTĂLIN-PETRONEL-PARTIDUL PRO ROMÂNIA-voturi","BUDUROI IOAN-SEBASTIAN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"LICEUL TEORETIC ”MIRON COSTIN”",90,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:05",1326,1322,1,3,0,528,525,0,3,0,520,8,1400,872,204,71,29,5,129,9,66,3,4
24,IAŞI,"LICEUL TEORETIC ”MIRON COSTIN”",92,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:31",1244,1239,0,5,0,460,455,0,5,0,448,12,1400,940,163,80,34,1,96,21,47,4,2
24,IAŞI,"LICEUL TEORETIC ‘’VASILE ALECSANDRI’’",49,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:01:33",1086,1053,24,9,0,486,477,0,9,0,478,8,1200,714,176,71,48,3,98,12,63,1,6
24,IAŞI,"LICEUL TEORETIC ‘’VASILE ALECSANDRI’’",51,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:17:15",1155,1080,68,7,0,495,486,2,7,0,477,18,1200,705,155,65,44,0,126,8,67,6,6
24,IAŞI,"LICEUL TEORETIC ‘’VASILE ALECSANDRI’’",50,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:28",570,531,13,26,0,266,240,0,26,0,254,12,600,334,93,37,19,5,48,8,38,4,2
24,IAŞI,"PT 27 - TATARASI",259,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:52:26",1652,1644,0,8,0,15,7,0,8,0,15,0,1900,1885,2,4,2,0,5,0,1,1,0
24,IAŞI,"PT MIRCEA CEL BĂTRÂN",117,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:53",1093,1085,1,7,0,310,303,0,7,0,305,5,1200,890,85,40,29,6,91,5,37,5,7
24,IAŞI,"PT MIRCEA CEL BĂTRÂN",116,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:33",1356,1347,2,7,0,419,412,0,7,0,399,20,1500,1081,121,65,58,4,80,14,48,6,3
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” ALECU RUSSO”",215,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:15",963,960,0,3,0,437,434,0,3,0,429,8,1100,663,149,48,41,5,110,7,61,3,5
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",214,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:09",1122,1116,0,6,0,298,292,0,6,0,290,8,1300,1002,106,38,21,2,65,7,45,1,5
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",213,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:10",1188,1181,1,6,0,505,499,0,6,0,492,13,1300,795,152,81,42,0,114,11,81,3,8
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",210,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:05",1053,1043,1,9,0,435,426,0,9,0,424,11,1200,765,113,58,52,3,118,10,65,4,1
