precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRA COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHAI DORINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOŞOSCHI VASILE-ADRIAN-FORȚA DREPTEI-voturi","BOŢ DUMITRU-DANIEL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","ANTONIE EMILIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","GOLUBOV ILIE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
37,TIMIŞ,"ŞCOALA GIMNAZIALA REMETEA MARE",529,"REMETEA MARE",158396,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:26",1684,1632,11,35,6,1073,1032,0,35,6,1004,57,1751,690,458,35,231,2,7,271
37,TIMIŞ,"ŞCOALA PRIMARA IANOVA",530,"REMETEA MARE",158396,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:01:03",993,936,29,25,3,672,643,1,25,3,625,40,1100,417,435,47,25,1,18,99
