precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION PANTEA” SĂLCIUA",368,SĂLCIUA,6976,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:06",539,501,1,12,25,368,331,0,12,25,361,7,600,232,64,23,218,28,11,17
1,ALBA,"ŞCOALA PRIMARĂ SĂLCIUA DE JOS",367,SĂLCIUA,6976,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:54:24",710,668,2,7,33,436,396,0,7,33,418,18,717,281,50,67,171,97,29,4
