precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL PATRIOȚILOR-voturi"
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:57",1822,1814,1,5,2,836,829,0,5,2,808,28,2000,1164,130,97,559,22
35,SUCEAVA,"LICEUL TEHNOLOGIC MIHAI EMINESCU DUMBRAVENI",297,DUMBRĂVENI,148426,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:50:49",1883,1872,0,3,8,890,879,0,3,8,865,25,1998,1108,169,129,545,22
35,SUCEAVA,"SCOALA DEAL",299,DUMBRĂVENI,148426,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:00:47",1706,1698,0,6,2,841,833,0,6,2,832,9,1801,960,113,109,579,31
35,SUCEAVA,"SCOALA SALAGENI",300,DUMBRĂVENI,148426,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:16",505,504,0,1,0,223,222,0,1,0,210,13,639,416,16,20,125,49
35,SUCEAVA,"SCOALA TOLOACA",298,DUMBRĂVENI,148426,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:30:21",1989,1980,0,6,3,924,915,0,6,3,896,28,2187,1235,98,132,644,22
