precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÎRLEANU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MALINESCU IONUŢ-PARTIDUL NAȚIONAL LIBERAL-voturi","DURLĂ ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL OPRIȘOR",222,OPRIŞOR,112771,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:35",719,650,0,36,33,465,396,0,36,33,435,20,716,261,162,239,34
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII OPRIȘOR",223,OPRIŞOR,112771,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:44",664,588,1,25,50,472,396,1,25,50,437,7,695,251,150,253,34
27,MEHEDINŢI,"ȘCOALA GENERALĂ PRISĂCEAUA",224,OPRIŞOR,112771,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:15",263,220,0,21,22,190,147,0,21,22,164,26,267,77,112,50,2
