precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ADAM ATANASIE-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞOVĂILĂ NICU-UNIUNEA SALVAȚI ROMÂNIA-voturi","BARBU IRINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CORBEANU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞERBAN CORNELIU-MARIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
17,DOLJ,"CAMIN CULTURAL GOIESTI SALA",373,GOIEŞTI,72677,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:20:32",1184,1124,3,38,19,794,738,0,37,19,760,34,1187,393,186,31,14,492,37
17,DOLJ,"SCOALA CLS I-IV MOGOSESTI SALA",375,GOIEŞTI,72677,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:42",544,531,0,10,3,367,354,0,10,3,358,9,600,233,117,11,10,216,4
17,DOLJ,"SCOALA CU CLS I-IV MALAESTI SALA",374,GOIEŞTI,72677,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:14:00",305,295,0,7,3,200,190,0,7,3,197,3,400,200,111,3,3,76,4
17,DOLJ,"SCOALA CU CLS I-VIII TANDARA SALA",376,GOIEŞTI,72677,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:39",556,541,0,9,6,386,371,0,9,6,374,12,600,214,186,27,8,144,9
