precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JÂMBOREAN PETRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FARKAS ÁRPÁD-PARTIDUL SOCIAL DEMOCRAT-voturi","CASONI EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi"
28,MUREŞ,"CĂMINUL CULTURAL MIHEȘU DE CÎMPIE",455,"MIHEŞU DE CÂMPIE",118370,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:11:19",1272,1195,1,42,34,890,813,1,42,34,865,25,1294,404,14,355,496
28,MUREŞ,"CĂMINUL CULTURAL RĂZOARE",456,"MIHEŞU DE CÂMPIE",118370,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:50:26",678,623,0,36,19,440,385,0,36,19,428,12,686,246,2,278,148
