precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"GRADINITA DE COPII",324,BĂTRÂNI,136278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:38",759,722,0,13,24,515,478,0,13,24,493,22,800,285,38,64,352,16,23
31,PRAHOVA,"SCOALA GIMNAZIALA, COMUNA BATRANI",323,BĂTRÂNI,136278,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:49:20",895,864,0,9,22,565,534,0,9,22,537,27,931,367,39,64,373,22,39
