precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SĂSĂRAN SANDU-FELICIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DASCĂLU IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
5,BIHOR,"CĂMIN CULTURAL",408,HOLOD,29573,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:28",138,103,1,25,9,102,68,0,25,9,99,3,131,29,79,20
5,BIHOR,"CĂMIN CULTURAL",407,HOLOD,29573,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:50",791,585,1,17,188,548,343,0,17,188,521,27,626,78,493,28
5,BIHOR,"CĂMIN CULTURAL",409,HOLOD,29573,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:39:56",124,107,0,16,1,84,67,0,16,1,77,7,121,37,73,4
5,BIHOR,"CĂMIN CULTURAL HODIȘ",410,HOLOD,29573,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:23:16",135,117,0,14,4,96,78,0,14,4,94,2,128,32,62,32
5,BIHOR,"CĂMINUL CULTURAL LUPOAIA",411,HOLOD,29573,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:45",258,234,0,19,5,258,234,0,19,5,238,20,527,269,222,16
5,BIHOR,"CĂMINUL CULTURAL VINTERE",413,HOLOD,29573,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:32:51",604,540,3,31,30,405,341,3,31,30,398,7,604,199,360,38
5,BIHOR,"CENTRUL AFTER SCHOOL HOLOD",406,HOLOD,29573,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:00",399,345,0,39,15,279,225,0,39,15,273,6,402,123,214,59
5,BIHOR,"ȘCOALA CU CLASELE I-IV",412,HOLOD,29573,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:53:07",75,55,0,20,0,54,34,0,20,0,53,1,65,11,37,16
